QS_IOTABLE,Mode,Code,typedef enum,ItemAttr,InitValue,Mark,MinValue,Mark,MaxValue,UnitCO,Figure,SI,SIbar,Imperial,MKS,Maｒk,HelpSI,HelpImperial,11110,11120,11130,11140,11150,11160,11210,11220,11230,11310,11320,11330,11331,11340,11350,11360,11410,11420,11430,11440,11450,11460,11461,11470,11510,11520,11530,12110,12120,12130,12140,12210,12220,12221,12230,12310,13110,13120,13130,13140,13150,13200,13300,13400,13500,14110,14120,14130,14140,14150,14160,14200,14300,14400,14500,14600,15110,15111,15112,15113,15114,15115,15116,15117,15118,15119,15120,15121,15122,,ENG Info,ENG Info short,Lengs,ENG Help,JPN Info,JPN Short name ,Lengs,JPN Help,DEU Info,DEU Short name ,Lengs,DEU Help,FRA Info,FRA Short name ,Lengs,FRA Help,CHN Info,CHN Short name ,Lengs,CHN Help,CHN Trad Info,CHN Trad Short name ,Lengs,CHN Trad Help,KOR Info,KOR Short name ,Lengs,KOR Help,ESP Info,ESP Info short,Lengs,ESP Help,RUS Info,RUS Info short,Lengs,RUS Help,PORT Info,PORT Info short,Lengs,PORT Help,TURKISH Info,TURKISH Info Short,Lengs,TURKISH Help,POLISH Info,POLISH Info Short,Lengs,POLISH Help,ITAL Info,ITAL Info short,Lengs,ITAL Help,ESP EU Info,ESP EU Info short,Lengs,ESP EU Help,NHL Info,NHL Info short,Lengs,NHL Help,THAI Info,THAI Info short,Lengs,THAI Help
ALL,I,1,PipeGrade,2,1,,,,,,,7,7,4,0,-,,,3,3,3,3,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,3,3,0,3,3,3,3,3,0,0,0,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Pipe Grade,Pipe Grade,19,,配管種類,,,,Rohrleitungs-Norm,,,,Norme de tuyauterie,,19,,管材等级,,,,管材等級,,,,배관종류,,,,Grado de Tubería,Grado de Tubería,,,Класс трубопровода,,,,Norma do tubo,,,,Boru Normu,,,,Norma wykonania rurociągu,,,,Classe della tubazione,,,,Grado de tubería,,,,Leidingnorm,,,,คุณภาพท่อ,,,
ALL,I,2,PipeSize,2,6,,,,,,,-1,-1,-1,-1,-,,,0,0,0,3,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Pipe Size,Pipe Size,19,,配管呼径,,,,Nennweite,,,,Dimension de tuyauterie,,19,,管径,,,,管徑,,,,배관사이즈,,,,Tamaño de Tubería,Tam. de la Tubería,,,Диаметр трубопровода,,,,Diâmetro do tubo,,,,Boru Çapı,,,,Średnica rurociągu,,,,Dimensione della tubazione,,,,Tamaño de tubería,,,,Leidingmaat,,,,ขนาดท่อ,,,
ALL,I,78,InsType,2,1,,,,,,,-1,-1,-1,-1,-,,,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Insulation,Insulation,19,Values for thermal conductivity based on JIS.,保温材材質,,,熱伝導率はＪＩＳの値です。,Isoliermaterial,,,Die Werte für den Wärmeübergang basieren auf dem JIS-Standard,Isolation (calorifugeage),,19,Les coefficients de conductivité thermique sont basés sur les normes JIS.,保温,,,热导率值参照JIS标准。,保溫,,,熱導率值參照JIS標準。,보온재의 재질,,,열전도율은 JIS를 기준으로 합니다.,Aislamiento,Aislamiento,,Valores para conductividad térmica basados en la normativa JIS.,Изоляция,,,Значения теплопроводности в соответствии со стандартами JIS,Isolamento,,,Valores para condutividade térmica baseado na norma JIS.,Yalıtım,,,JIS normuna göre ısıl iletkenlik değerleri,Izolacja,,,Wartości dla współczynnika przewodzenia ciepła bazują na normach JIS.,Isolamento,,,Valori per la conduttività termica basati su JIS.,Aislamiento,,,Valores para conductividad térmica basados en la normativa JIS.,Isolatie,,,Waarde voor thermische geleiding gebaseerd op JIS.,ฉนวน,,,ค่าสัมประสิทธิ์การนำความร้อนอ้างอิงจาก JIS
LQD,I,106,LiquidName,2,1,,,,,,,-1,-1,-1,-1,-,,,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Liquid type,,19,,液体種類,,,,Art der Flüssigkeit,,,,Liquide,,19,,流体种类,,,,流體種類,,,,액체의 종류,,,,Tipo de liquido,,,,Тип среды,,,,Tipo de líquido,,,,Akışkan tipi,,,,Rodzaj cieczy,,,,Tipo di liquido,,,,Tipo de líquido,,,,Vloeistoftype,,,,ประเภทของเหลว,,,
ALL,I,3,PipeInDiam,1,,!,0,,,0200,,0,0,3,0,d,m,in,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Pipe Inner Diameter,Pipe Inner Diameter,19,,配管内径,,,,Rohrinnendurchmesser,,,,Diamètre interne de tuyauterie,,19,,管道内径,,,,管道內徑,,,,배관내경,,,,Diámetro Interno Tubería,Diam. Int. Tub.,,,Внутренний диаметр трубопровода,,,,Diâmetro interno do tubo,,,,Boru İç Çapı,,,,Średnica wewnętrzna rury,,,,Diametro interno della tubazione,,,,Diámetro interno de tubería,,,,Binnendiameter leiding,,,,เส้นผ่านศูนย์กลางด้านในท่อ,,,
LQD,I,19,Gravity,0,1,!,0,,,,3,-1,-1,-1,-1,SG,,,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specific Gravity,Liquid Spec Gravity,19,,比重,,,,Spez. Gewicht Flüssigkeit,,,,Gravité spécifique du liquide,,19,,液体比重,,,,液體比重,,,,액체의 비중,,,,Gravedad Específica del Liquido,Gravedad Específica Liquido,,,Плотность,,,,Gravidade específica ,,,,Özgül Ağırlık,,,,Ciężar właściwy,,,,Gravità specifica,,,,Gravedad específica del líquido,,,,Soortelijk gewicht,,,,ความโน้มถ่วงจำเพาะ,,,
LQD,I,25,SpecHeat,0, 4.186,!,0,,,0500,3,0,0,2,1,c,kJ/kg K,BTU/lb F,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Specific Heat,Liquid Spec Heat ,19,,比熱,,,,Spez. Wärmekapazität Flüssigkeit,,,,Chaleur spécifique du liquide,,19,,液体比热,,,,液體比熱,,,,액체의 비열,,,,Calor Específico del Liquido,Calor Esp. Liquido,,,Теплосодержание,,,,Calor específico,,,,Özgül Isı,,,,Ciepło właściwe,,,,Calore specifico,,,,Calor específico del líquido,,,,Soortelijke warmte,,,,ความร้อนจำเพาะ,,,
GAS,I,4,AirPress,0,101.325,!,0,=,22064,0900,,7,9,8,10,Pa,kPa abs,psia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Air Pressure,,,,空気圧力,,,,Luftdruck,,,,Pression de l'air,,,,空气压力,,,,空氣壓力,,,,에어의 압력,,,,Presión del Aire,,,,Давление воздуха,,,,Pressão do ar,,,,Hava Basıncı,,,,Ciśnienie powietrza,,,,Pressione dell'aria,,,,Presión del aire,,,,Luchtdruk,,,,ความดันอากาศ,,,
GAS,I,5,AirTemp,0,,!,-273.15,!,100,0100,,0,0,1,0,Ta,°C,°F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,3,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,Air Temperature,Air Temperature,19,,空気温度,,,,Lufttemperatur,,,,Température d'air,,19,,空气温度,,,,空氣溫度,,,,에어온도,,,,Temperatura del Aire,Temp. Aire,,,Температура воздуха,,,,Temperatura do ar,,,,Hava Sıcaklığı,,,,Temperatura powietrza,,,,Temperatura dell'aria,,,,Temperatura del aire,,,,Luchttemperatuur,,,,อุณหภูมิอากาศ,,,
GAS,I,6,GasPress,0,101.325,!,0,=,22064,0900,,7,9,8,10,Pg,kPa abs,psia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Gas Pressure,Gas Pressure,19,,ガス圧力,,,,Gasdruck,,,,Pression du gaz,,19,,气体压力,,,,氣體壓力,,,,가스압력,,,,Presión del Gas,Pres. Gas,,,Давление газа,,,,Pressão do  gás ,,,,Gaz Basıncı,,,,Ciśnienie gazu,,,,Pressione del gas,,,,Presión del gas,,,,Gasdruk,,,,ความดันแก๊ส,,,
